Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
4885 Servicios de intermediación para el transporte de carga,22,24.5, 46.50 ,"711 - Servicios artísticos, culturales y deportivos, y otros servicios relacionados",138945.518,
492 Servicios de mensajería y paquetería,65.4,45, 110.40 ,"712 - Museos, sitios históricos, zoológicos y similares",18550.86,
4921 Servicios de mensajería y paquetería foránea,65.4,45, 110.40 ,713 - Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,127778.299, 69.20 
51 Información en medios masivos,"5,419.10",-250.2," 5,168.90 ",72 - Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1449094.795," 4,970.00 "
512 Industria fílmica y del video e industria del sonido,12.9,-2.6, 10.30 ,721 - Servicios de alojamiento temporal,664267.846," 4,965.50 "
5121 Industria fílmica y del video,14.9,-2.6, 12.30 ,722 - Servicios de preparación de alimentos y bebidas,784826.949,
513 Edición de periódicos revistas  libros directorios software y otros materiales,-27.2,399, 371.80 ,81 - Otros servicios excepto actividades gubernamentales,1178034.469, 20.10 
5131 Edición de periódicos  revistas  libros  directorios y otros materiales,7.8,4.1, 11.90 ,811 - Servicios de reparación y mantenimiento,280493.694, 12.10 
5132 Edición de software,-35,394.8, 359.80 ,812 - Servicios personales,514967.67, 8.10 
516 Radio y televisión y provisión de contenido,"5,318.40",192.3," 5,510.70 ",813 - Asociaciones y organizaciones,109420.697,
5162 Servicios de distribución de audio y video en tiempo real (streaming)  redes sociales  cadenas de radio y televisión y otros proveedores de contenido,"5,318.40",192.3," 5,510.70 ",814 - Hogares con empleados domésticos,273152.407,
517 Telecomunicaciones,74.3,-947.6,-873.30 ,"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",164996602.8,
5173 Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,23.4,-926,-902.60 ,,,
5174 Operadores de servicios de telecomunicaciones vía satélite,48.5,21.9, 70.40 ,,,
5179 Otros servicios de telecomunicaciones,2.5,-43.5,-41.00 ,,,
518 Provisión de infraestructura de servicios de cómputo  procesamiento de datos  hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4, 13.30 ,,,
5182 Provisión de infraestructura de servicios de cómputo procesamiento de datos hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4, 13.30 ,,,
519 Bibliotecas archivos  portales de búsqueda en la red y otros servicios de suministro de información,21,115.1, 136.10 ,,,
5192 Bibliotecas archivos portales de búsqueda en la red y otros servicios de suministro de información,21,115.1, 136.10 ,,,
52 Servicios financieros y de seguros,"5,214.80","7,205.80"," 12,420.60 ",,,
522 Instituciones de intermediación crediticia y financiera no bursátil,"3,592.70","6,362.20"," 9,954.90 ",,,
5221 Banca múltiple,"3,407.20","6,029.30"," 9,436.50 ",,,
5223 Uniones de crédito e instituciones de ahorro,109.9,64.6, 174.50 ,,,
5224 Otras instituciones de intermediación crediticia y financiera no bursátil,77.3,209.3, 286.60 ,,,
5225 Servicios relacionados con la intermediación crediticia no bursátil,7.6,65.7, 73.30 ,,,
523 Actividades bursátiles cambiarias y de inversión financiera,209.1,347.6, 556.70 ,,,
