Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
3262 Fabricación de productos de hule,198.1,131.2,134.8,-56.0,408.1,102.0,13.9,-62.7,-103.2,-50.0,224.4,-232.3,-7.9,"5,414.5"
327 Fabricación de productos a base de minerales no metálicos,155.0,-94.8,-56.4,34.0,37.8,121.4,-80.4,-51.3,28.6,18.3,174.5,-177.1,-2.5,"5,384.8"
3271 Fabricación de productos a base de arcillas y minerales refractarios,6.6,-3.8,-2.1,C,-6.5,8.0,C,C,C,2.7,13.0,C,13.0,583.2
3272 Fabricación de vidrio y productos de vidrio,40.4,-17.5,7.7,40.8,71.5,1.4,0.5,56.6,28.4,87.0,160.7,0.5,161.2,"4,306.7"
3273 Fabricación de cemento  concreto y sus productos,107.8,C,C,C,-34.6,C,C,C,C,C,0.0,C,C,361.2
3274 Fabricación de cal  yeso y productos de yeso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9
3279 Fabricación de otros productos a base de minerales no metálicos,0.3,0.2,6.6,C,7.4,C,0.2,C,C,0.6,C,0.6,1.4,89.7
331 Industrias metálicas básicas,828.5,"1,139.9",-40.2,650.7,"2,579.0","1,978.5",710.5,-411.2,5.1,"2,283.0","1,368.3",-600.2,768.1,"20,229.6"
3311 Industria básica del hierro y del acero,738.7,"1,071.7",-140.5,494.0,"2,163.9","1,878.7",613.3,-348.9,11.8,"2,154.9","1,302.0",-666.8,635.1,"16,519.6"
3312 Fabricación de productos de hierro y acero,59.5,15.9,78.5,133.6,287.5,73.7,81.2,-61.1,-14.8,79.0,64.0,57.3,121.4,"2,879.1"
3313 Industria básica del aluminio,-1.7,5.2,2.0,1.3,6.7,0.9,5.9,-0.4,1.8,8.1,2.9,7.1,10.0,382.7
3314 Industrias de metales no ferrosos  excepto aluminio,13.1,40.8,C,C,79.2,23.8,0.0,C,C,29.8,C,-2.8,-11.8,208.9
3315 Moldeo por fundición de piezas metálicas,18.9,6.4,17.3,-1.0,41.7,1.3,10.1,-3.6,3.3,11.2,8.5,5.0,13.5,239.3
332 Fabricación de productos metálicos,77.8,1.3,-3.7,-22.5,52.8,65.5,52.5,20.7,30.2,168.9,95.2,22.3,117.4,"2,839.9"
3321 Fabricación de productos metálicos forjados y troquelados,-10.7,-8.3,-16.1,-40.7,-75.7,-1.6,25.4,8.2,0.1,32.1,3.8,4.5,8.2,134.4
3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,34.0,C,5.7,C,52.4,C,C,C,C,C,C,C,C,408.6
3323 Fabricación de estructuras metálicas y productos de herrería,-0.5,0.9,1.3,2.6,4.2,8.6,-1.2,3.3,0.9,11.5,-0.1,0.3,0.1,70.7
3324 Fabricación de calderas tanques y envases metálicos,C,C,C,C,C,C,C,C,C,C,2.4,C,2.7,156.0
3325 Fabricación de herrajes y cerraduras,12.1,-8.9,1.7,-1.9,3.1,10.3,14.9,12.9,10.6,48.7,9.0,0.7,9.7,310.3
3326 Fabricación de alambre productos de alambre y resortes,9.0,-1.3,2.7,1.3,11.7,2.7,0.9,0.9,1.1,5.6,3.4,0.3,3.7,153.3
3327 Maquinado de piezas y fabricación de tornillos,11.7,4.0,2.5,10.1,28.2,14.6,1.0,6.4,-4.5,17.5,21.4,12.3,33.7,496.1
3328 Recubrimientos y terminados metálicos,C,C,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,C,C,5.1
3329 Fabricación de otros productos metálicos,25.3,0.2,-1.9,4.3,28.0,30.7,6.5,-16.7,15.7,36.3,52.1,-3.3,48.8,"1,105.4"
333 Fabricación de maquinaria y equipo,353.0,147.9,-63.1,-139.3,298.6,350.3,61.2,-448.2,85.8,49.2,-995.1,-40.4,"-1,035.5","12,347.3"
3331 Fabricación de maquinaria y equipo agropecuario para la construcción y para la industria extractiva,-145.7,112.5,-57.0,173.2,83.0,14.1,-49.2,-129.0,75.3,-88.8,40.4,60.6,101.0,"1,642.3"
3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,-1.2,16.7,-44.7,-164.5,-193.8,74.5,6.3,9.7,16.5,107.1,56.8,20.2,77.0,"1,163.1"
3333 Fabricación de maquinaria y equipo para el comercio y los servicios,9.4,2.7,6.1,0.4,18.6,22.5,0.5,4.6,1.8,29.3,8.3,11.9,20.2,651.7
3334 Fabricación de equipo de aire acondicionado  calefacción  y de refrigeración industrial y comercial,465.4,47.9,20.0,-70.0,463.3,184.2,36.1,-410.0,51.1,-138.5,"-1,244.3",-125.7,"-1,370.0","6,552.0"
3335 Fabricación de maquinaria y equipo para la industria metalmecánica,C,C,3.1,0.1,2.1,8.0,C,9.4,3.4,21.7,1.8,C,4.7,133.7
3336 Fabricación de motores de combustión interna turbinas y transmisiones,26.0,-6.0,12.0,1.7,33.7,14.1,5.2,4.7,33.7,57.6,47.1,0.7,47.8,574.0
3339 Fabricación de otra maquinaria y equipo para la industria en general,-1.0,-24.6,-2.5,-80.1,-108.3,33.0,61.3,62.5,-95.9,60.9,94.8,-11.0,83.8,"1,630.4"
334 Fabricación de equipo de computación  comunicación  medición y de otros equipos componentes y accesorios electrónicos,528.6,365.0,407.3,-197.2,"1,103.7","1,055.2",92.9,462.1,458.0,"2,068.2",790.2,73.7,863.9,"21,355.4"
3341 Fabricación de computadoras y equipo periférico,15.4,76.7,62.1,-103.4,50.9,55.3,73.7,-74.6,-39.1,15.4,91.7,108.3,200.0,"2,035.1"
3342 Fabricación de equipo de comunicación,63.8,44.4,-45.0,92.5,155.6,133.2,-10.2,94.2,-28.5,188.7,34.6,37.3,71.9,"1,491.8"
3343 Fabricación de equipo de audio y de video,25.8,29.4,47.2,36.6,138.9,13.6,25.7,109.4,275.9,424.7,17.5,25.5,43.0,"3,567.9"
3344 Fabricación de componentes electrónicos,270.0,205.2,279.0,82.6,836.8,269.4,69.4,372.5,130.2,841.5,146.6,-68.8,77.8,"9,148.0"
3345 Fabricación de instrumentos de medición control navegación y equipo médico electrónico,144.4,-5.3,58.5,-320.5,-122.9,570.6,-106.0,-42.5,114.1,536.3,490.4,-57.3,433.2,"4,338.9"
3346 Fabricación y reproducción de medios magnéticos y ópticos,9.2,14.6,5.5,C,44.4,13.1,40.3,3.1,5.2,61.7,9.4,28.7,38.2,773.8
335 Fabricación de accesorios  aparatos eléctricos y equipo de generación de energía eléctrica,358.8,157.4,172.1,-52.4,636.0,613.7,185.2,6.8,36.8,842.5,302.9,143.3,446.2,"13,889.0"
3351 Fabricación de accesorios de iluminación,1.2,6.5,1.4,1.5,10.5,11.3,-1.2,4.0,1.6,15.8,4.1,-21.6,-17.5,194.2
3352 Fabricación de aparatos eléctricos de uso doméstico,65.2,78.0,62.6,-148.5,57.4,421.4,29.1,-16.2,9.3,443.6,126.8,73.0,199.9,"3,148.4"
3353 Fabricación de equipo de generación y distribución de energía eléctrica,237.3,10.7,55.1,40.8,343.9,115.0,108.1,-60.8,9.8,172.0,105.9,41.9,147.8,"7,600.9"
3359 Fabricación de otros equipos y accesorios eléctricos,55.1,62.3,53.1,53.8,224.3,66.0,49.1,79.8,16.2,211.1,66.0,50.0,116.0,"2,945.6"
336 Fabricación de equipo de transporte,"1,583.3","1,901.7",968.8,-141.8,"4,312.1","3,572.1","3,428.2",997.3,-766.8,"7,230.8","4,913.0","3,046.0","7,959.0","88,923.8"
3361 Fabricación de automóviles y camiones,862.5,"1,527.5",838.7,-211.1,"3,017.5","2,262.4","3,137.4",530.7,-838.5,"5,092.0","3,845.0","2,245.8","6,090.8","45,634.3"
3362 Fabricación de carrocerías y remolques,C,C,C,-1.4,13.1,C,C,C,C,1.6,20.9,C,37.3,753.4
3363 Fabricación de partes para vehículos automotores,584.8,327.7,77.8,24.9,"1,015.2","1,168.1",252.0,411.2,83.1,"1,914.4",887.7,746.5,"1,634.3","37,304.3"
3364 Fabricación de equipo aeroespacial,104.3,41.2,49.3,26.2,221.0,133.5,38.3,44.8,10.8,227.5,131.8,29.3,161.1,"3,787.1"
3365 Fabricación de equipo ferroviario,C,C,C,19.6,33.9,0.0,C,0.0,C,-15.0,26.8,C,47.2,"1,292.9"
3366 Fabricación de embarcaciones,0.0,C,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,49.8
3369 Fabricación de otro equipo de transporte,5.4,1.1,C,0.0,6.5,C,C,C,C,C,0.7,-12.4,-11.7,102.0
337 Fabricación de muebles colchones y persianas,0.5,5.8,5.8,-15.0,-2.9,15.5,26.2,16.4,2.4,60.6,50.6,26.9,77.5,504.4
3371 Fabricación de muebles excepto de oficina y estantería,0.5,5.7,5.7,-15.1,-3.2,15.4,26.2,16.3,1.9,59.8,49.2,26.9,76.1,487.7
3372 Fabricación de muebles de oficina y estantería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,0.5
3379 Fabricación de colchones persianas y cortineros,C,C,C,C,C,C,C,C,C,C,C,C,C,16.3
339 Otras industrias manufactureras,63.0,148.8,135.5,-245.7,101.6,111.2,81.8,125.3,17.3,335.5,69.1,55.2,124.3,"4,546.9"
3391 Fabricación de equipo no electrónico y material desechable de uso médico  dental y para laboratorio y artículos oftálmicos,32.5,21.8,17.9,14.7,86.8,48.9,36.7,31.3,13.4,130.3,32.6,11.5,44.1,"1,035.0"
